gene_id,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Gene001,56,59,56,41,47,53,49,51,58,56,86,73,67,67,76,63,68,73,82,73
Gene002,54,43,56,54,49,41,54,51,53,51,63,82,54,71,69,74,81,83,62,74
Gene003,49,46,47,61,56,49,49,46,56,49,77,58,74,71,80,70,91,78,79,98
Gene004,49,46,49,41,40,45,55,40,44,51,68,70,62,88,79,86,74,78,91,73
Gene005,52,43,50,41,40,54,43,55,41,63,71,79,68,84,70,75,75,71,72,74
Gene006,49,44,57,36,41,46,62,45,40,35,58,81,68,85,57,77,73,56,77,92
Gene007,63,56,56,51,59,48,45,49,44,47,75,72,81,69,78,86,82,83,75,61
Gene008,39,57,56,65,52,52,51,49,56,50,83,65,79,88,73,80,73,69,96,79
Gene009,51,56,40,53,52,58,49,46,56,45,74,61,62,74,78,74,89,80,51,62
Gene010,55,58,55,45,35,54,39,56,51,65,86,68,69,62,69,73,76,67,76,83
Gene011,51,54,53,56,49,47,62,50,46,50,65,81,70,82,70,66,86,73,73,69
Gene012,42,41,48,56,49,33,45,52,38,58,79,70,74,70,76,82,83,78,82,53
Gene013,62,42,43,63,46,54,49,61,59,55,72,72,77,72,88,84,76,49,76,79
Gene014,34,52,54,48,54,59,59,52,45,43,65,73,64,70,90,72,56,73,73,83
Gene015,45,44,61,55,53,44,42,45,49,56,83,77,57,68,78,67,59,55,59,72
Gene016,59,50,46,56,45,44,54,46,34,55,34,62,43,40,44,52,52,45,49,57
Gene017,57,44,46,55,55,60,40,54,41,60,52,45,58,52,59,52,48,55,48,50
Gene018,39,48,42,43,47,55,56,59,39,55,48,52,48,64,43,48,42,47,44,45
Gene019,43,49,50,44,37,46,39,52,42,42,52,46,48,56,64,60,45,42,49,54
Gene020,59,51,44,64,56,50,51,41,66,66,51,44,46,49,51,55,42,47,47,53
Gene021,57,62,53,36,41,53,62,55,53,49,47,54,60,53,65,55,51,50,48,47
Gene022,49,39,53,43,59,54,45,45,61,51,66,45,48,59,49,59,51,53,62,56
Gene023,50,44,45,52,44,59,41,40,42,52,41,45,53,58,48,50,39,49,47,48
Gene024,55,50,39,51,35,49,58,58,57,48,45,50,49,44,55,38,42,41,49,59
Gene025,44,45,51,58,52,45,51,45,46,54,60,49,64,43,43,43,43,42,59,47
Gene026,47,52,39,40,33,52,50,48,41,43,59,47,49,48,49,49,51,47,39,55
Gene027,43,56,52,48,52,51,55,50,46,47,45,56,43,60,39,50,48,48,45,59
Gene028,50,54,54,52,49,43,43,48,74,53,53,49,68,54,61,40,58,51,51,49
Gene029,71,43,69,59,41,51,54,49,47,38,56,63,30,44,44,42,43,62,53,57
Gene030,47,44,65,56,43,53,49,55,64,40,50,50,48,52,53,61,36,53,48,59
Gene031,47,47,57,55,43,41,53,60,42,45,60,54,47,41,46,51,37,56,57,57
Gene032,47,49,44,46,41,46,44,63,53,57,38,49,48,51,40,60,48,52,47,46
Gene033,43,66,58,43,57,62,54,44,69,48,44,56,58,43,57,48,47,43,50,53
Gene034,48,44,56,49,43,45,61,45,45,65,44,48,42,56,62,58,46,56,55,60
Gene035,55,55,40,50,52,44,54,43,47,39,59,56,46,46,53,55,50,47,65,55
Gene036,59,60,51,44,54,55,49,53,60,47,46,43,40,41,52,53,53,55,47,42
Gene037,45,44,46,59,56,44,61,51,51,52,41,54,37,48,44,55,58,56,50,63
Gene038,51,55,50,62,49,49,44,56,42,46,48,44,50,44,44,53,63,51,46,61
Gene039,45,51,50,48,46,41,58,44,51,46,53,36,52,58,52,49,61,41,53,50
Gene040,49,44,47,53,56,55,49,44,44,48,66,51,58,52,51,55,55,49,55,42
Gene041,49,55,59,58,52,45,38,47,49,45,58,58,66,50,42,34,41,48,45,52
Gene042,53,49,57,51,47,39,65,52,45,49,41,49,46,41,65,50,48,45,59,45
Gene043,48,46,48,54,54,47,55,47,51,61,40,55,52,47,50,42,45,40,45,45
Gene044,47,47,38,43,50,46,60,56,46,56,53,56,52,39,48,49,48,60,60,46
Gene045,48,50,47,48,58,50,57,45,40,55,52,37,45,60,46,55,42,59,62,65
Gene046,47,48,61,54,47,55,41,47,46,47,48,45,48,51,47,61,35,49,51,55
Gene047,53,59,51,59,48,47,43,60,43,52,46,55,49,49,50,52,48,47,42,50
Gene048,29,48,43,51,52,58,48,59,51,42,55,55,38,44,48,50,58,49,53,45
Gene049,47,49,46,47,59,41,58,41,55,52,47,45,40,52,57,51,46,48,50,44
Gene050,40,56,61,37,53,58,52,52,49,43,50,34,52,53,53,53,52,45,59,39
Gene051,44,58,52,49,55,47,41,47,50,39,57,56,40,68,60,51,57,45,51,49
Gene052,40,44,41,51,42,47,62,58,52,54,67,56,50,47,50,72,46,51,45,49
Gene053,52,55,52,32,55,51,54,37,46,49,53,46,38,48,49,29,52,53,60,50
Gene054,45,43,51,51,45,38,60,50,49,57,55,51,45,55,53,57,49,48,39,58
Gene055,48,50,60,51,52,48,52,49,55,42,45,44,45,66,59,57,48,54,48,54
Gene056,60,42,44,59,50,47,42,56,48,51,45,43,54,39,42,47,43,50,44,58
Gene057,60,59,54,53,39,49,42,60,56,53,45,40,53,44,54,64,58,58,53,54
Gene058,36,40,46,43,54,45,49,45,49,57,44,49,54,53,47,56,49,43,44,56
Gene059,47,57,53,55,48,46,48,48,63,52,40,45,51,42,51,51,40,52,53,47
Gene060,47,71,62,54,51,49,44,42,36,54,47,52,51,53,46,44,57,45,46,42
Gene061,50,42,39,45,46,51,49,41,50,53,52,39,36,36,42,46,51,53,58,44
Gene062,38,52,38,45,56,45,65,46,48,49,46,45,52,57,45,52,43,47,56,49
Gene063,62,60,53,52,52,43,52,44,47,48,55,57,46,52,44,53,56,43,51,49
Gene064,38,45,66,53,46,46,55,49,42,45,42,46,43,51,48,39,55,58,56,46
Gene065,58,55,59,47,43,37,62,41,52,39,37,54,59,64,50,35,41,43,51,53
Gene066,51,42,62,63,40,47,57,41,47,45,45,56,41,54,53,49,50,42,67,47
Gene067,61,62,40,47,60,45,39,51,38,37,47,43,66,53,54,50,46,53,45,43
Gene068,53,39,47,52,50,56,50,65,55,36,52,63,51,45,55,38,54,52,48,50
Gene069,65,47,50,45,47,42,50,57,56,30,32,50,51,54,46,52,46,54,41,60
Gene070,59,50,49,45,62,43,51,49,41,74,37,54,37,50,50,50,53,50,46,52
Gene071,59,53,42,62,51,37,46,45,32,60,54,46,54,49,55,52,49,51,51,63
Gene072,49,58,54,54,43,52,59,41,55,48,48,55,50,54,62,52,51,50,40,50
Gene073,40,58,34,49,54,44,42,60,60,46,40,59,47,45,50,53,54,61,59,58
Gene074,56,46,46,57,55,56,48,62,48,56,57,57,66,45,50,64,41,43,53,52
Gene075,52,47,52,49,54,60,53,40,52,52,57,57,45,57,47,44,46,46,46,42
Gene076,60,60,44,43,47,47,46,46,45,55,48,43,47,52,39,56,46,60,51,36
Gene077,46,49,59,55,64,53,58,57,69,54,51,45,57,43,59,39,46,38,49,49
Gene078,45,63,38,50,53,54,57,54,38,63,50,68,47,44,51,53,48,46,53,64
Gene079,51,51,48,48,54,56,51,55,45,64,49,48,45,54,57,54,53,68,55,44
Gene080,48,47,52,57,54,49,54,66,51,52,47,40,55,74,63,41,50,63,46,41
Gene081,41,54,47,51,50,59,48,50,53,44,47,43,51,51,50,50,47,50,37,43
Gene082,43,59,48,65,37,39,46,54,47,50,49,67,50,37,35,50,38,52,47,44
Gene083,38,44,39,47,55,58,51,50,42,45,63,51,44,38,44,46,53,50,50,53
Gene084,40,46,47,49,50,44,47,66,51,48,42,40,45,61,48,48,53,42,47,55
Gene085,51,51,37,39,58,44,52,46,51,61,55,62,46,56,56,52,46,60,50,55
Gene086,48,50,50,54,48,49,49,44,49,52,61,49,50,59,53,51,56,53,55,54
Gene087,62,39,37,38,51,45,42,43,39,55,43,49,54,49,51,54,43,46,44,52
Gene088,51,75,55,37,48,51,56,49,55,59,43,47,43,58,67,45,54,48,57,43
Gene089,48,45,52,61,61,38,37,57,49,51,49,51,64,50,45,64,59,58,52,43
Gene090,37,58,50,41,51,50,43,53,60,66,50,44,55,49,41,45,50,52,55,61
Gene091,50,44,46,55,43,50,47,42,42,57,49,62,59,47,55,45,51,46,52,52
Gene092,43,44,46,58,52,58,46,32,40,47,51,53,51,41,48,42,42,61,53,50
Gene093,51,49,57,59,56,45,50,45,49,59,52,41,48,56,52,60,40,49,56,38
Gene094,55,55,44,56,53,50,53,41,34,47,55,37,44,56,45,42,56,51,46,42
Gene095,58,57,50,54,54,50,53,44,55,49,46,54,59,40,59,54,46,41,49,53
Gene096,40,58,43,45,46,53,47,42,43,49,62,46,58,40,48,60,51,49,52,57
Gene097,59,42,53,40,38,65,56,45,59,49,55,48,48,50,47,41,38,42,57,52
Gene098,51,47,50,49,45,37,57,52,46,47,61,54,41,43,56,37,49,59,43,47
Gene099,62,50,62,49,53,43,53,48,45,62,46,41,50,46,43,58,49,57,48,49
Gene100,50,50,48,44,51,55,53,48,42,52,54,46,37,40,60,45,48,41,41,43
